No,判定,締切,残日数,補助金_公募名,対象地域,従業員条件,上限額円,判定理由,理由区分,JグランツID,URL
78,△,2026-09-30 17:00,26.4,令和８年度経営統合等による産業力強化支援事業（連携枠）,東京都,従業員数の制約なし,400000000,地域条件は通るが、ROOOMTECHとの事業適合性・応募者要件を詳細確認,適合性,a0WJ200000CDeC6MAL,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDeC6MAL
79,△,2026-09-30 17:00,26.4,令和８年度ＡＩ×データ知財取得支援助成事業【第２回申請】,東京都,300名以下,450000,事業テーマは関連するが、個別要件の確認が必要,追加要件,a0WJ200000CDe0VMAT,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDe0VMAT
80,○,2026-09-30 17:00,26.4,小規模事業者持続化補助金＜共同・協業型＞ 第３回公募,全国,従業員数の制約なし,30000000,基本属性と事業テーマが合致。公募要領の最終要件確認後に申請準備,候補,a0WJ200000CDcQOMA1,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDcQOMA1
81,△,2026-09-30 17:15,26.4,東京都就職氷河期世代等安定就業サポート助成金（令和８年度第５回申請受付）,東京都,従業員数の制約なし,2400000,地域条件は通るが、ROOOMTECHとの事業適合性・応募者要件を詳細確認,適合性,a0WJ200000CDeU8MAL,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDeU8MAL
82,△,2026-09-30 17:15,26.4,東京都正規雇用転換安定化支援助成金（令和８年度第５回申請受付）,東京都,従業員数の制約なし,1900000,地域条件は通るが、ROOOMTECHとの事業適合性・応募者要件を詳細確認,適合性,a0WJ200000CDeTyMAL,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDeTyMAL
83,△,2026-09-30 17:15,26.4,東京都若者世代職場定着促進助成金（令和８年度第５回申請受付）,東京都,従業員数の制約なし,1260000,地域条件は通るが、ROOOMTECHとの事業適合性・応募者要件を詳細確認,適合性,a0WJ200000CDeUDMA1,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDeUDMA1
84,△,2026-09-30 18:00,26.5,【令和８年度】ハイブリッド連節バス導入支援事業（環境配慮型先進トラック・バス導入加速事業）,全国,従業員数の制約なし,0,事業テーマは関連するが、個別要件の確認が必要,追加要件,a0WJ200000CDdRHMA1,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDdRHMA1
85,△,2026-09-30 23:59,26.7,令和8年度　建築GX・DX推進事業,全国,従業員数の制約なし,0,事業テーマは関連するが、個別要件の確認が必要,追加要件,a0WJ200000CDZ2OMAX,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDZ2OMAX
86,×,2026-09-30 23:59,26.7,令和8年度医療機関におけるＡＩ技術活用促進事業（単年度型）,東京都,従業員数の制約なし,10000000,医療機関等向け,対象者,a0WJ200000CDY6tMAH,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDY6tMAH
87,△,2026-09-30 23:59,26.7,女性の活躍推進に向けた職場環境改善奨励金　支給申請,東京都,300名以下,1800000,事業テーマは関連するが、個別要件の確認が必要,追加要件,a0WJ200000CDaTDMA1,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDaTDMA1
88,△,2026-09-30 23:59,26.7,女性活躍情報公開促進奨励金　支給申請,東京都,100名以下,200000,地域条件は通るが、ROOOMTECHとの事業適合性・応募者要件を詳細確認,適合性,a0WJ200000CDaTFMA1,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDaTFMA1
89,×,2026-10-01 00:00,26.7,令和８年度社会福祉施設等への非常用電源等の整備促進事業補助金,東京都,従業員数の制約なし,3750000,介護・福祉事業者向け,対象者,a0WJ200000CDY6vMAH,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDY6vMAH
90,△,2026-10-01 17:00,27.4,令和８年度外国侵害調査費用助成事業,東京都,300名以下,2000000,地域条件は通るが、ROOOMTECHとの事業適合性・応募者要件を詳細確認,適合性,a0WJ200000CDYQnMAP,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDYQnMAP
91,△,2026-10-01 17:00,27.4,令和８年度外国著作権登録費用助成事業,東京都,300名以下,100000,地域条件は通るが、ROOOMTECHとの事業適合性・応募者要件を詳細確認,適合性,a0WJ200000CDYRHMA5,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDYRHMA5
92,△,2026-10-01 17:00,27.4,令和８年度特許調査費用助成事業,東京都,300名以下,1000000,事業テーマは関連するが、個別要件の確認が必要,追加要件,a0WJ200000CDYQoMAP,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDYQoMAP
93,○,2026-10-02 12:00,28.2,令和8年度当初予算　二次公募　民間企業等による再エネの導入及び地域共生加速化事業のうち、ストレージパリティの達成に向けた太陽光発電設備等の価格低減促進事業,全国,従業員数の制約なし,60000000,基本属性と事業テーマが合致。公募要領の最終要件確認後に申請準備,候補,a0WJ200000CDeSJMA1,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDeSJMA1
94,△,2026-10-05 12:00,31.2,「地熱ポテンシャル高度利活用技術開発」の追加公募,全国,従業員数の制約なし,0,地域条件は通るが、ROOOMTECHとの事業適合性・応募者要件を詳細確認,適合性,a0WJ200000CDdoxMAD,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDdoxMAD
95,×,2026-10-07 12:00,33.2,令和８年度酒類業振興支援事業費補助金（第５期）,北海道 / 青森県 / 岩手県 / 宮城県 / 秋田県 / 山形県 / 福島県 / 茨城県 / 栃木県 / 群馬県 / 埼玉県 / 新潟県 / 長野県 / 沖縄県 / 千葉県 / 東京都 / 神奈川県 / 山梨県 / 富山県 / 石川県 / 福井県 / 岐阜県 / 静岡県 / 愛知県 / 三重県 / 滋賀県 / 京都府 / 大阪府 / 兵庫県 / 奈良県 / 和歌山県 / 鳥取県 / 島根県 / 岡山県 / 広島県 / 山口県 / 徳島県 / 香川県 / 愛媛県 / 高知県 / 福岡県 / 佐賀県 / 長崎県 / 熊本県 / 大分県 / 宮崎県 / 鹿児島県,従業員数の制約なし,15000000,酒類事業者向け,対象者,a0WJ200000CDdRmMAL,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDdRmMAL
96,△,2026-10-08 12:00,34.2,「海外研究者招へい事業（STeP JAPAN）」2027年度海外招へい研究者受入機関の募集,全国,従業員数の制約なし,0,地域条件は通るが、ROOOMTECHとの事業適合性・応募者要件を詳細確認,適合性,a0WJ200000CDaooMAD,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDaooMAD
97,△,2026-10-09 12:00,35.2,令和７年度(補正予算) ゼロエミッション船等の建造促進事業 2次公募,全国,従業員数の制約なし,0,事業テーマは関連するが、個別要件の確認が必要,追加要件,a0WJ200000CDdnJMAT,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDdnJMAT
98,△,2026-10-09 12:00,35.2,令和７年度（補正予算）地域共生を目指したデータセンター脱炭素化設備導入支援事業（三次公募）,全国,従業員数の制約なし,0,事業テーマは関連するが、個別要件の確認が必要,追加要件,a0WJ200000CDeS9MAL,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDeS9MAL
99,△,2026-10-09 17:00,35.4,令和８年度 非石油由来製品等開発支援事業,東京都,従業員数の制約なし,20000000,地域条件は通るが、ROOOMTECHとの事業適合性・応募者要件を詳細確認,適合性,a0WJ200000CDdN0MAL,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDdN0MAL
100,×,2026-10-09 17:00,35.4,伝統的工芸品産業支援補助金（令和8年度第2回災害復興事業）,新潟県 / 福井県 / 富山県 / 石川県,従業員数の制約なし,10000000,対象地域が新潟県 / 福井県 / 富山県 / 石川県で、確認済み本店・事業拠点条件に合わない,地域,a0WJ200000CDeQmMAL,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDeQmMAL
101,△,2026-10-12 23:59,38.7,［第六回以降］事業再構築補助金（共同申請者）,全国,従業員数の制約なし,150000000,地域条件は通るが、ROOOMTECHとの事業適合性・応募者要件を詳細確認,適合性,a0W2x000007Cos5EAC,https://www.jgrants-portal.go.jp/subsidy/a0W2x000007Cos5EAC
102,×,2026-10-16 17:00,42.4,⼩規模事業者持続化補助⾦＜⼀般型 災害⽀援枠（令和６年能登半島地震等）＞10次公募【商⼯会地区】,石川県,20名以下,2000000,対象地域が石川県で、確認済み本店・事業拠点条件に合わない,地域,a0WJ200000CDWp3MAH,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDWp3MAH
103,×,2026-10-16 17:00,42.4,小規模事業者持続化補助金＜一般型 災害支援枠（令和６年能登半島地震等）＞１０次公募【商工会議所地区】,石川県,20名以下,2000000,対象地域が石川県で、確認済み本店・事業拠点条件に合わない,地域,a0WJ200000CDdALMA1,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDdALMA1
104,×,2026-10-16 23:59,42.7,令和８年度訪問介護員等補助者同行支援補助金,東京都,従業員数の制約なし,0,介護・福祉事業者向け,対象者,a0WJ200000CDUhfMAH,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDUhfMAH
105,×,2026-10-16 23:59,42.7,令和８年度訪問系介護サービス事業所に対する防犯機器等導入支援補助金,東京都,従業員数の制約なし,100000,介護・福祉事業者向け,対象者,a0WJ200000CDUheMAH,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDUheMAH
106,△,2026-10-22 17:00,48.4,【令和７年度補正予算・令和８年度】二酸化炭素排出抑制対策事業費等補助金（業務用建築物ストックの省CO2改修調査支援事業（令和７年度補正予算二次公募・令和８年度一次公募））,全国,従業員数の制約なし,1000000,事業テーマは関連するが、個別要件の確認が必要,追加要件,a0WJ200000CDYaFMAX,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDYaFMAX
107,△,2026-10-29 23:59,55.7,［第十三回］事業再構築補助金_GX進出類型（交付申請等）,全国,従業員数の制約なし,150000000,事業テーマは関連するが、個別要件の確認が必要,追加要件,a0WJ200000CDPyeMAH,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDPyeMAH
108,△,2026-10-30 17:00,56.4,【令和８年度２次公募】国立公園等利用拠点滞在環境等上質化事業（国立公園等資源整備事業費補助金）,全国,従業員数の制約なし,0,事業テーマは関連するが、個別要件の確認が必要,追加要件,a0WJ200000CDczHMAT,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDczHMAT
109,△,2026-10-30 17:00,56.4,【令和８年度２次公募】国立公園等多言語解説等整備事業（国立公園等資源整備事業費補助金）,全国,従業員数の制約なし,0,地域条件は通るが、ROOOMTECHとの事業適合性・応募者要件を詳細確認,適合性,a0WJ200000CDczMMAT,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDczMMAT
110,△,2026-10-30 18:00,56.5,【令和８年度】二酸化炭素排出抑制対策事業費等補助金（再エネ等由来水素を活用した自立・分散型エネルギーシステム構築等事業）,全国,従業員数の制約なし,300000000,事業テーマは関連するが、個別要件の確認が必要,追加要件,a0WJ200000CDaotMAD,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDaotMAD
111,△,2026-10-30 18:00,56.5,産業車両等の脱炭素化促進事業のうち、港湾における脱炭素化促進事業（二酸化炭素排出抑制対策事業費等補助金）,全国,従業員数の制約なし,100000000,事業テーマは関連するが、個別要件の確認が必要,追加要件,a0WJ200000CDZ04MAH,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDZ04MAH
112,△,2026-10-30 18:00,56.5,産業車両等の脱炭素化促進事業のうち、空港における脱炭素化促進事業① 空港における再エネ活用型GPU等導入支援（二酸化炭素排出抑制対策事業費等補助金）,全国,従業員数の制約なし,150000000,事業テーマは関連するが、個別要件の確認が必要,追加要件,a0WJ200000CDYzVMAX,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDYzVMAX
113,△,2026-10-30 18:00,56.5,産業車両等の脱炭素化促進事業のうち、空港における脱炭素化促進事業③空港におけるEV・FCV型車両改造事業（二酸化炭素排出抑制対策事業費等補助金）,全国,従業員数の制約なし,0,事業テーマは関連するが、個別要件の確認が必要,追加要件,a0WJ200000CDZ1GMAX,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDZ1GMAX
114,×,2026-10-30 23:59,56.7,令和8年度医療機関診療情報デジタル導入支援事業,東京都,従業員数の制約なし,0,医療機関等向け,対象者,a0WJ200000CDY6uMAH,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDY6uMAH
115,△,2026-10-31 00:00,56.7,令和７年度補正 業務産業用蓄電システム導入支援事業,全国,従業員数の制約なし,15000000,事業テーマは関連するが、個別要件の確認が必要,追加要件,a0WJ200000CDY4mMAH,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDY4mMAH
116,△,2026-10-31 23:59,57.7,エイジフレンドリー補助金,全国,従業員数の制約なし,1000000,地域条件は通るが、ROOOMTECHとの事業適合性・応募者要件を詳細確認,適合性,a0WJ200000CDYbNMAX,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDYbNMAX
117,△,2026-11-10 12:00,67.2,「グリーンイノベーション基金事業／次世代型地熱技術の開発」の公募,全国,従業員数の制約なし,0,地域条件は通るが、ROOOMTECHとの事業適合性・応募者要件を詳細確認,適合性,a0WJ200000CDXkJMAX,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDXkJMAX
118,×,2026-11-13 17:00,70.4,【鹿児島県】令和8年度_中小企業等海外展開支援事業費補助金（海外出願支援事業）,鹿児島県,300名以下,3000000,対象地域が鹿児島県で、確認済み本店・事業拠点条件に合わない,地域,a0WJ200000CDZXbMAP,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDZXbMAP
119,○,2026-11-13 17:00,70.4,令和８年度_Scope3排出量削減のための企業間連携による省CO2設備投資促進事業,全国,従業員数の制約なし,1500000000,基本属性と事業テーマが合致。公募要領の最終要件確認後に申請準備,候補,a0WJ200000CDNDnMAP,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDNDnMAP
120,△,2026-11-13 18:00,70.5,産業車両等の脱炭素化促進事業のうち、空港における脱炭素化促進事業②空港におけるEV・FCV型車両導入事業（二酸化炭素排出抑制対策事業費等補助金）,全国,従業員数の制約なし,0,事業テーマは関連するが、個別要件の確認が必要,追加要件,a0WJ200000CDZDHMA5,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDZDHMA5
121,△,2026-11-20 17:00,77.4,令和７年度（補正予算）地域脱炭素実現に向けた具体的施策実装支援事業（四次公募）,全国,従業員数の制約なし,0,事業テーマは関連するが、個別要件の確認が必要,追加要件,a0WJ200000CDd3OMAT,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDd3OMAT
122,△,2026-11-20 17:00,77.4,令和８年度地域脱炭素実現に向けた具体的施策実装支援事業,全国,従業員数の制約なし,0,事業テーマは関連するが、個別要件の確認が必要,追加要件,a0WJ200000CDd3YMAT,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDd3YMAT
123,△,2026-11-27 18:00,84.5,令和８年度　産業車両等の脱炭素化促進事業のうち、フォークリフトの燃料電池化促進事業（二酸化炭素排出抑制対策事業費等補助金）,全国,従業員数の制約なし,5500000,事業テーマは関連するが、個別要件の確認が必要,追加要件,a0WJ200000CDYzQMAX,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDYzQMAX
124,△,2026-11-28 00:00,84.7,令和７年度補正 ディマンドリスポンスの拡大に向けたIoT化推進事業,全国,従業員数の制約なし,20000000,地域条件は通るが、ROOOMTECHとの事業適合性・応募者要件を詳細確認,適合性,a0WJ200000CDY5GMAX,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDY5GMAX
125,△,2026-11-28 18:00,85.5,【令和８年度】二酸化炭素排出抑制対策事業費等補助金（地域再エネ水素ステーション保守点検等支援事業）,全国,従業員数の制約なし,2200000,事業テーマは関連するが、個別要件の確認が必要,追加要件,a0WJ200000CDZzQMAX,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDZzQMAX
126,△,2026-11-30 12:00,87.2,令和８年度二酸化炭素排出抑制対策事業費等補助金（運輸部門等の脱炭素化に向けた先進的システム社会実装促進事業のうち、農業機械の電動化促進事業）,全国,従業員数の制約なし,72000000,事業テーマは関連するが、個別要件の確認が必要,追加要件,a0WJ200000CDa1gMAD,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDa1gMAD
127,△,2026-11-30 17:00,87.4,【令和８年度】働き方改革推進支援助成金,全国,300名以下,13700000,地域条件は通るが、ROOOMTECHとの事業適合性・応募者要件を詳細確認,適合性,a0WJ200000CDYEGMA5,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDYEGMA5
128,×,2026-11-30 17:00,87.4,【山形県】令和8年度やまがた未来くるエネルギー補助金（山形県再生可能エネルギー等設備導入促進事業）,山形県,従業員数の制約なし,0,対象地域が山形県で、確認済み本店・事業拠点条件に合わない,地域,a0WJ200000CDddVMAT,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDddVMAT
129,×,2026-11-30 17:00,87.4,古賀市中小企業等向け太陽光発電設備導入補助金,福岡県,従業員数の制約なし,4500000,対象地域が福岡県で、確認済み本店・事業拠点条件に合わない,地域,a0WJ200000CDYfxMAH,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDYfxMAH
130,×,2026-11-30 17:00,87.4,埼玉県中小企業等奨学金返還支援事業補助金（令和８年度）,埼玉県,従業員数の制約なし,0,対象地域が埼玉県で、確認済み本店・事業拠点条件に合わない,地域,a0WJ200000CDZIAMA5,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDZIAMA5
131,△,2026-11-30 17:30,87.4,令和8年度　資源循環分野の脱炭素化促進事業,全国,従業員数の制約なし,44000000,事業テーマは関連するが、個別要件の確認が必要,追加要件,a0WJ200000CDXyuMAH,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDXyuMAH
132,×,2026-11-30 23:45,87.7,森・川・海ごみ削減実践活動支援事業補助金,静岡県,従業員数の制約なし,100000,対象地域が静岡県で、確認済み本店・事業拠点条件に合わない,地域,a0WJ200000CDYsRMAX,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDYsRMAX
133,△,2026-11-30 23:59,87.7,令和8年度SDS電子化補助金,全国,従業員数の制約なし,1000000,地域条件は通るが、ROOOMTECHとの事業適合性・応募者要件を詳細確認,適合性,a0WJ200000CDderMAD,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDderMAD
134,△,2026-11-30 23:59,87.7,令和８年度 脱炭素成長型経済構造移行推進対策費補助金 （業務用建築物の脱炭素改修加速化事業）,全国,従業員数の制約なし,1000000000,事業テーマは関連するが、個別要件の確認が必要,追加要件,a0WJ200000CDa1bMAD,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDa1bMAD
135,△,2026-11-30 23:59,87.7,令和８年度多様な体験型観光推進事業補助金,東京都,従業員数の制約なし,2000000,事業テーマは関連するが、個別要件の確認が必要,追加要件,a0WJ200000CDYUmMAP,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDYUmMAP
136,△,2026-11-30 23:59,87.7,令和８年度東京都医療ＤＸ人材育成支援事業,東京都,従業員数の制約なし,500000,地域条件は通るが、ROOOMTECHとの事業適合性・応募者要件を詳細確認,適合性,a0WJ200000CDXvUMAX,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDXvUMAX
137,△,2026-11-30 23:59,87.7,女性活躍情報公開促進奨励金　中止届,東京都,100名以下,200000,地域条件は通るが、ROOOMTECHとの事業適合性・応募者要件を詳細確認,適合性,a0WJ200000CDbYxMAL,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDbYxMAL
138,△,2026-12-01 17:00,88.4,令和８年度海外商標対策支援助成事業,東京都,300名以下,5000000,地域条件は通るが、ROOOMTECHとの事業適合性・応募者要件を詳細確認,適合性,a0WJ200000CDYR2MAP,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDYR2MAP
139,×,2026-12-01 17:15,88.4,【農林水産省】中山間地域所得確保推進事業,全国,従業員数の制約なし,5000000,農業関係者向け,対象者,a0WJ200000CDYDCMA5,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDYDCMA5
140,△,2026-12-03 12:00,90.2,令和８年度ゼロエミッション船等の導入支援事業,全国,従業員数の制約なし,0,事業テーマは関連するが、個別要件の確認が必要,追加要件,a0WJ200000CDbyjMAD,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDbyjMAD
141,△,2026-12-14 17:00,101.4,【令和８年度】INPIT外国出願補助金（中間手続補助）,全国,300名以下,500000,地域条件は通るが、ROOOMTECHとの事業適合性・応募者要件を詳細確認,適合性,a0WJ200000CDXmVMAX,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDXmVMAX
142,○,2026-12-17 17:00,104.4,中小企業人材確保のための奨学金返還支援事業【令和８年度企業登録】,東京都,従業員数の制約なし,0,基本属性と事業テーマが合致。公募要領の最終要件確認後に申請準備,候補,a0WJ200000CDX1KMAX,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDX1KMAX
143,△,2026-12-18 15:00,105.3,【令和８年度】ＰＣＢ汚染変圧器高効率化補助金,全国,従業員数の制約なし,1000000,地域条件は通るが、ROOOMTECHとの事業適合性・応募者要件を詳細確認,適合性,a0WJ200000CDYC7MAP,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDYC7MAP
144,△,2026-12-18 17:00,105.4,INPIT事業再編計画支援事業補助金（令和８年度）,全国,901名以上,6500000,地域条件は通るが、ROOOMTECHとの事業適合性・応募者要件を詳細確認,適合性,a0WJ200000CDYBxMAP,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDYBxMAP
145,×,2026-12-18 17:00,105.4,【徳島県】令和８年度_中小企業等海外展開支援事業費補助金（海外出願支援事業）,徳島県,300名以下,3000000,対象地域が徳島県で、確認済み本店・事業拠点条件に合わない,地域,a0WJ200000CDdicMAD,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDdicMAD
146,×,2026-12-25 11:00,112.2,【福岡県宗像市】令和8年度 宗像市がんばる中小企業者応援補助金,福岡県,300名以下,0,対象地域が福岡県で、確認済み本店・事業拠点条件に合わない,地域,a0WJ200000CDddbMAD,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDddbMAD
147,×,2026-12-25 11:00,112.2,【福岡県宗像市】令和8年度 宗像市創業応援補助金（“宗業”者応援補助金）,福岡県,従業員数の制約なし,0,対象地域が福岡県で、確認済み本店・事業拠点条件に合わない,地域,a0WJ200000CDddaMAD,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDddaMAD
148,×,2026-12-25 11:00,112.2,【福岡県宗像市】令和8年度 食のまち宗像推進補助金,福岡県,従業員数の制約なし,0,対象地域が福岡県で、確認済み本店・事業拠点条件に合わない,地域,a0WJ200000CDddZMAT,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDddZMAT
149,△,2026-12-25 17:00,112.4,既存住宅流通活性化緊急促進事業,北海道 / 宮城県 / 茨城県 / 埼玉県 / 千葉県 / 東京都 / 神奈川県 / 愛知県 / 滋賀県 / 京都府 / 大阪府 / 兵庫県 / 広島県 / 福岡県 / 佐賀県,従業員数の制約なし,158000000,地域条件は通るが、ROOOMTECHとの事業適合性・応募者要件を詳細確認,適合性,a0WJ200000CDY2TMAX,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDY2TMAX
150,×,2026-12-25 17:15,112.4,【山形県】令和8年度地域主導型再生可能エネルギー導入支援事業費補助金,山形県,従業員数の制約なし,240000,対象地域が山形県で、確認済み本店・事業拠点条件に合わない,地域,a0WJ200000CDddXMAT,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDddXMAT
151,×,2026-12-25 17:15,112.4,【山形県】令和8年度山形県再生可能エネルギー(小水力発電)事業可能性調査事業費補助金,山形県,従業員数の制約なし,750000,対象地域が山形県で、確認済み本店・事業拠点条件に合わない,地域,a0WJ200000CDddWMAT,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDddWMAT
152,△,2026-12-25 23:59,112.7,令和８年度　観光産業の活性化促進事業補助金,東京都,従業員数の制約なし,25000000,事業テーマは関連するが、個別要件の確認が必要,追加要件,a0WJ200000CDdfpMAD,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDdfpMAD
153,△,2026-12-25 23:59,112.7,令和８度誰もが楽しめる自然体験型観光推進事業補助金,東京都,従業員数の制約なし,5000000,事業テーマは関連するが、個別要件の確認が必要,追加要件,a0WJ200000CDYUlMAP,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDYUlMAP
154,×,2026-12-28 17:00,115.4,【久留米市】中小企業先端設備等導入支援補助金（令和8年度）,福岡県,300名以下,5000000,対象地域が福岡県で、確認済み本店・事業拠点条件に合わない,地域,a0WJ200000CDbPLMA1,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDbPLMA1
155,△,2026-12-28 17:00,115.4,【経済産業省】ものづくり・商業・サービス生産性向上促進補助金（20次締切）,全国,従業員数の制約なし,35000000,事業テーマは関連するが、個別要件の確認が必要,追加要件,a0WJ200000CDVkeMAH,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDVkeMAH
156,×,2026-12-28 17:00,115.4,農林水産物認証取得支援事業（水産認証取得支援事業）補助金,東京都,従業員数の制約なし,0,農業関係者向け,対象者,a0W2x000007CStOEAW,https://www.jgrants-portal.go.jp/subsidy/a0W2x000007CStOEAW
157,×,2026-12-28 17:00,115.4,農林水産物認証取得支援事業（農家認証取得支援事業）補助金,東京都,従業員数の制約なし,0,農業関係者向け,対象者,a0W2x000007CStEEAW,https://www.jgrants-portal.go.jp/subsidy/a0W2x000007CStEEAW
158,×,2026-12-28 17:15,115.4,【久留米市】久留米市キッチンカー導入事業費補助金（令和８年度）,福岡県,従業員数の制約なし,300000,対象地域が福岡県で、確認済み本店・事業拠点条件に合わない,地域,a0WJ200000CDYTvMAP,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDYTvMAP
159,×,2026-12-28 17:15,115.4,【久留米市】久留米市小規模事業者デジタル化支援補助金（令和８年度）,福岡県,20名以下,200000,対象地域が福岡県で、確認済み本店・事業拠点条件に合わない,地域,a0WJ200000CDbpCMAT,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDbpCMAT
160,△,2026-12-28 17:15,115.4,【倉敷市】実証実験サポート事業,全国,従業員数の制約なし,500000,事業テーマは関連するが、個別要件の確認が必要,追加要件,a0WJ200000CDY6KMAX,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDY6KMAX
161,△,2026-12-28 23:45,115.7,令和８年度フィンテック企業に対する海外進出支援事業 海外展示会共同出展,東京都,従業員数の制約なし,0,地域条件は通るが、ROOOMTECHとの事業適合性・応募者要件を詳細確認,適合性,a0WJ200000CDYUPMA5,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDYUPMA5
162,△,2026-12-28 23:45,115.7,令和８年度フィンテック企業に対する海外進出支援事業補助金,東京都,従業員数の制約なし,3000000,地域条件は通るが、ROOOMTECHとの事業適合性・応募者要件を詳細確認,適合性,a0WJ200000CDYUQMA5,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDYUQMA5
163,△,2026-12-28 23:59,115.7,在宅人工呼吸器使用難病患者非常用電源設備整備事業補助金,全国,従業員数の制約なし,0,地域条件は通るが、ROOOMTECHとの事業適合性・応募者要件を詳細確認,適合性,a0WJ200000CDHQZMA5,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDHQZMA5
